Category,SubCategory,Name,Price,SKU,Weight,Options,Description,ImageUrls,ImageNames,Url
Novelty Items,,Camo Home Plate Firefighter Trucker Ball Cap,$28.00,5353,1.00 LBS,,Camo Home Plate Firefighter Trucker Ball CapCamouflage Home-plate Firefighter Trucker style Mesh Ball Cap. One size fits most.,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/942/1945/20220804_094530__17520.1659637629.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/942/1944/20220804_094558__36170.1659637613.jpg?c=2, ","9c49f06b-bcf2-4cee-bdd5-79546df27923.png, 8211beb2-9637-40e5-a273-620a00e31162.png, ",https://www.fire-etc.com/camo-home-plate-firefighter-trucker-ball-cap/
Novelty Items,,343Leather Patch Baseball Hat,$25.00,5156,0.60 LBS,,"343Leather Patch Baseball HatOur custom 343 leather patch baseball cap. Flat bill, snap back, 110 Series.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/936/1897/343-hat__17835.1631223028.jpg?c=2, ","6abe8579-4469-4bab-8840-975ee55b8065.png, ",https://www.fire-etc.com/343-leather-patch-baseball-hat/
Novelty Items,,FD old english baseball hat black,$25.00,,1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),",FD old english baseball hat blackBlack Flexfit ball cap with black old english 3D embroidered lettering.,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/892/1727/Webp.net-resizeimage_2__44197.1558560748.jpg?c=2, ","42d0d9a2-fb0c-407b-b151-0702541d85ae.png, ",https://www.fire-etc.com/fd-old-english-baseball-hat-black/
Novelty Items,,fd old english baseball hat,$25.00,,1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),",fd old english baseball hatRed Flexfit ball cap with white old english 3D embroidered lettering.,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/891/1726/Webp.net-resizeimage_4__27185.1558560610.jpg?c=2, ","606840e5-e990-496b-90d2-10bbbc049053.png, ",https://www.fire-etc.com/fd-old-english-baseball-hat/
Novelty Items,,FD old english Baseball Hat Green,$25.00,,1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),",FD old english Baseball Hat GreenKelly green FlexFit hat with white embroidered 3D FD in Old English letters,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/890/1725/Webp.net-resizeimagecrop__03324.1558560281.jpg?c=2, ","60bf23ff-2e8e-4443-87a1-26ea73f49168.png, ",https://www.fire-etc.com/fd-old-english-baseball-hat-green/
Novelty Items,,Cali Bear Baseball Hat Flex Fit.,$25.00,"17605F, 17605E",1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),","Cali Bear Baseball Hat Flex Fit.Cali Bear Baseball hat is made by Flex Fit, and is done in Navy Blue. The logo is custom, and is not made by, or affiliated with Cal Fire. This hat is exclusive to our website.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/578/849/calihat_full__02626.1378915313.jpg?c=2, ","3dc8bc72-6dc4-4acf-b7e3-c1636776bf3c.png, ",https://www.fire-etc.com/calibearbaseballhat/
Novelty Items,,All American Baseball Hat,$25.00,"17605B, 17605A",1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),","All American Baseball HatThe ""All American"" Baseball Hat is made by Flex Fit, and is done in Black, The logo is done in Red, White and Blue. This Hat is exclusive to our website.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/577/848/hatfands_full__54455.1378915196.jpg?c=2, ","4ea6556b-78a4-4692-a6c3-deb783b1128a.png, ",https://www.fire-etc.com/allamericanbaseballhat/
Novelty Items,,Major League Baseball Hat,$25.00,"17605D, 17605C",1.00 LBS,"*Size: L/XL (7 1/8 - UP), S/M (6 7/8 - 7 1/8),","Major League Baseball HatMajor League Baseball Hat is made by Flex Fit, and is done in Dark Navy, The logo is done in Red, White and Blue. This Hat is exclusive to our website.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/576/847/mlbhat_full__14953.1378915064.jpg?c=2, ","16c29fd9-b418-4b95-a1c9-4b68a802624d.png, ",https://www.fire-etc.com/majorleaguebaseballhat/
PPE,Structure Clothing,JR. Firefighter Kids Helmet,$10.00,17350,1.00 LBS,,JR. Firefighter Kids Helmet,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/589/860/kidhelmet_full_1879__70256.1378918364.jpg?c=2, ","d81b3d1d-bf76-4556-a3fc-9970e920a0b2.png, ",https://www.fire-etc.com/JR-Firefighter-Kids-Helmet/
PPE,Structure Clothing,Fire Dex Double Layer 100% Nomex Hood O/S,$46.00,16845,1.00 LBS,,Fire Dex Double Layer 100% Nomex Hood O/SFire Dex Double Layer 100% Nomex Hood. The H81 Fire Hood is a long seamless bib with notched shoulders and features TrueFit elastic around the face opening for superior comfort. One Size fits all!100% Nomex HoodLong seamless bibNotched shouldersTrueFit elasticOne Size Fits All,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/588/1417/Fire-Dex-Double-Layer-100-Nomex-Hood-O-S__20510.1474914403.jpg?c=2, ","e836c67e-fd58-46c6-8726-ecf45104ab21.png, ",https://www.fire-etc.com/fire-dex-double-layer-100-nomex-hood-o-s/
